ID,rating,price,category_Chinese,category_Japanese,category_Korean,category_Indian,category_French,category_Mexican,category_Lebanese,category_Ethiopian,Asian,rest_lat,rest_lon,distance,downtown
22,3,2,0,0,0,0,0,0,0,0,0.0,14.9371485874922,60.99140027576138,62.79386367729705,1.0
23,4,2,0,0,0,0,0,0,0,0,0.0,97.61931799069392,72.5063459893181,121.60058163385125,0.0
24,4,3,0,0,0,0,0,1,0,0,0.0,7.167082219280452,63.12466307602237,63.53023025300057,1.0
25,4,1,0,0,0,0,0,1,0,0,0.0,13.172889054161875,98.0900834150799,98.97064954020759,0.0
26,5,1,0,0,0,0,0,0,0,0,0.0,86.21194741534372,44.92563167041824,97.21528819137491,0.0
27,5,3,0,0,1,0,0,0,0,0,1.0,81.55980322429394,53.433477725979884,97.5045539648192,0.0
28,1,1,0,0,0,0,0,0,1,0,0.0,96.02424203801456,44.961557683023614,106.02922582127563,0.0
29,4,1,0,0,0,0,1,0,0,0,0.0,22.71557994660922,77.42199355186777,80.68557899560646,0.0
30,5,1,0,0,0,0,0,1,0,0,0.0,55.92050811638981,48.48441927817802,74.01244585025805,1.0
31,3,2,0,0,1,0,0,0,0,0,1.0,33.24556866975369,92.93532188650114,98.70279575737906,0.0
32,5,1,0,0,0,0,0,0,0,0,0.0,20.326459672722386,39.78800393076535,44.67941606177735,1.0
33,3,2,0,0,1,0,0,0,0,0,1.0,54.25013745097781,13.876319870111608,55.996693354051175,1.0
34,5,2,0,0,0,1,0,0,0,0,1.0,32.124532052270574,87.58485780278971,93.29036861280082,0.0
35,4,1,0,0,0,0,0,1,0,0,0.0,79.22261385446035,85.03970875117626,116.22381257908303,0.0
36,4,3,0,0,0,0,0,1,0,0,0.0,55.362091083540896,49.38105310521884,74.18523798521322,1.0
37,5,1,0,0,1,0,0,0,0,0,1.0,13.41201167717455,61.268133613981746,62.718946529492875,1.0
38,2,3,0,0,0,0,1,0,0,0,0.0,10.42808042085136,68.58437973991167,69.37263153126129,1.0
39,4,2,0,0,0,0,0,1,0,0,0.0,75.01671594144526,41.898849292052496,85.92450897524881,0.0
40,5,1,1,0,0,0,0,0,0,0,1.0,54.9763183450548,89.74952120919578,105.24909565434133,0.0
41,4,3,0,0,0,0,0,0,0,0,0.0,67.43170009623773,87.18032326007794,110.21543876245576,0.0
42,4,1,0,0,0,0,0,1,0,0,0.0,94.41095810310102,20.590647540546627,96.63024255420514,0.0
43,2,3,0,0,0,0,0,0,0,0,0.0,70.02773454483429,93.81221402294776,117.06671220021997,0.0
44,5,2,0,0,0,0,0,1,0,0,0.0,32.764150820874484,76.77633790784529,83.47511989540747,0.0
45,4,4,0,1,0,0,0,0,0,0,1.0,44.69092622456674,2.336238701487703,44.751948539476984,1.0
46,4,1,0,0,0,0,0,0,0,0,0.0,21.469404151011208,46.20286876214348,50.94742777070606,1.0
47,4,4,0,0,1,0,0,0,0,0,1.0,47.91579739102413,22.254148098329786,52.83153175140836,1.0
48,2,1,0,0,0,0,0,0,0,1,0.0,2.2355647950502378,0.30458059073275034,2.256217917028212,1.0
49,3,2,0,0,0,0,0,0,0,0,0.0,16.373580022948776,47.01434652664822,49.783962298070115,1.0
50,4,2,0,0,0,1,0,0,0,0,1.0,33.566803153828715,38.212488852125745,50.86181847163665,1.0
51,4,3,0,0,0,1,0,0,0,0,1.0,93.10159581439947,14.956204412933038,94.29525541420016,0.0
52,5,2,0,0,0,0,0,0,0,0,0.0,24.654051719087434,93.66708404235862,96.85734303172741,0.0
53,5,2,0,0,0,0,1,0,0,0,0.0,2.8475364818018267,99.56429356282925,99.60500497806541,0.0
54,4,1,0,0,0,0,0,0,0,1,0.0,6.652675481387504,18.606559527080137,19.760115093172686,1.0
55,4,1,0,1,0,0,0,0,0,0,1.0,67.28927852301206,18.104660159702313,69.68232002198121,1.0
56,1,2,0,0,0,0,0,0,0,0,0.0,44.58446991334451,38.98650867730932,59.22603157649377,1.0
57,1,2,0,0,1,0,0,0,0,0,1.0,96.89176228480072,5.749634094585499,97.06220629511752,0.0
58,5,3,0,0,0,0,0,0,0,0,0.0,92.9166699984377,1.7420527729267055,92.93299904480773,0.0
59,4,3,0,0,0,0,0,0,0,0,0.0,48.49213648759313,99.54863134798028,110.73128421718698,0.0
60,4,2,0,0,0,0,0,0,0,0,0.0,0.6120363807465723,18.56728326642767,18.577367855192033,1.0
61,3,2,0,0,0,0,0,0,0,0,0.0,45.81863663085177,9.427510756614133,46.77847177683456,1.0
62,4,2,0,0,0,0,0,0,0,0,0.0,76.28655140609023,46.50753147382929,89.34533233036446,0.0
63,4,2,0,0,0,0,0,1,0,0,0.0,63.000178959343735,44.16356977919692,76.93791941917414,1.0
64,2,1,0,0,0,0,0,0,1,0,0.0,92.67359419585436,90.96911396892295,129.86059740147812,0.0
65,2,4,0,0,0,0,0,0,0,0,0.0,81.61207201436834,12.490023878466094,82.56228554832465,0.0
66,3,1,0,0,0,0,0,0,0,0,0.0,36.77987026727839,75.86255548560905,84.30828062346511,0.0
67,2,1,0,0,0,0,1,0,0,0,0.0,4.221874708847196,92.5841851767371,92.6803947493619,0.0
68,4,4,0,0,1,0,0,0,0,0,1.0,89.92755133468305,66.79835523765455,112.02225114461834,0.0
69,4,3,0,0,0,0,0,0,0,1,0.0,80.54367471125872,96.9598586038474,126.04958435659809,0.0
70,4,1,0,1,0,0,0,0,0,0,1.0,23.31395177360974,58.26970556799984,62.76064797533238,1.0
71,1,2,0,0,0,0,0,0,0,1,0.0,75.03726747326537,44.629633819470506,87.30633267246078,0.0
72,3,1,0,0,1,0,0,0,0,0,1.0,9.776698164500697,92.51839236214938,93.03352488364811,0.0
73,4,2,0,0,0,0,0,0,0,0,0.0,25.260050606966576,79.254587911356,83.18268967558917,0.0
74,2,4,0,0,0,0,1,0,0,0,0.0,15.25857995949018,32.344361374121554,35.76285747923286,1.0
75,3,4,0,0,0,0,0,1,0,0,0.0,43.98062495196859,19.133444739858284,47.96231936404799,1.0
76,5,1,0,0,1,0,0,0,0,0,1.0,75.80194133048398,26.958161511136602,80.45294762487366,0.0
77,4,1,0,0,0,0,0,0,0,0,0.0,37.14310574092276,9.858492564332444,38.42915793668094,1.0
78,4,2,1,0,0,0,0,0,0,0,1.0,46.038413227454775,83.52588323872082,95.37352181454928,0.0
79,5,3,0,0,1,0,0,0,0,0,1.0,62.68344746208435,96.25551172098871,114.86661012844979,0.0
80,3,1,1,0,0,0,0,0,0,0,1.0,60.1001659977838,15.064916878038503,61.95951640792056,1.0
81,3,2,0,0,0,1,0,0,0,0,1.0,9.161920236742482,37.39708293400608,38.50302058796635,1.0
82,5,3,0,0,0,0,0,1,0,0,0.0,70.37736038701424,89.00321999011744,113.46605670266734,0.0
83,5,4,0,0,0,0,0,0,0,0,0.0,6.081468127405754,38.238251029381175,38.71883387152333,1.0
84,4,4,0,0,0,0,0,0,0,0,0.0,51.38814799745271,52.62239339840177,73.55173717584283,1.0
85,4,2,0,0,0,0,1,0,0,0,0.0,29.177110847935783,97.73428821465153,101.99654352112773,0.0
86,4,3,0,0,0,0,0,0,0,1,0.0,59.51384168785617,25.92418582937368,64.91502725381163,1.0
87,4,4,1,0,0,0,0,0,0,0,1.0,24.24329264211379,55.64583071021657,60.697575845837946,1.0
88,4,1,0,0,0,0,0,1,0,0,0.0,57.08057093103922,28.26146447357809,63.693814079584804,1.0
89,4,1,0,0,0,1,0,0,0,0,1.0,82.42297289866006,66.02756229210316,105.60864284560623,0.0
90,4,2,0,0,0,0,0,0,0,0,0.0,3.778484236369517,49.2310750336746,49.375861431430145,1.0
91,4,2,0,0,0,1,0,0,0,0,1.0,88.2104664341562,43.34095621843383,98.28288189944165,0.0
92,3,4,0,0,1,0,0,0,0,0,1.0,81.90657174039417,46.42647625384346,94.14937170057497,0.0
93,4,1,0,0,0,0,0,0,1,0,0.0,25.245501865657605,62.4245623473359,67.33618157205937,1.0
94,5,1,0,1,0,0,0,0,0,0,1.0,82.6210770801757,95.26805358506176,126.10410148672617,0.0
95,4,3,0,0,0,0,0,0,0,0,0.0,83.62728785609544,9.51138698694306,84.16644079787167,0.0
96,1,1,0,0,0,0,0,0,0,0,0.0,25.475207056379823,92.1446414833962,95.6013657259615,0.0
97,4,2,0,0,0,0,0,0,0,1,0.0,12.715702008285046,27.657518127006608,30.440554963883354,1.0
98,4,4,1,0,0,0,0,0,0,0,1.0,31.367913526144353,32.3032132399217,45.02714275420463,1.0
99,4,1,0,0,0,0,0,0,0,1,0.0,21.76516151473502,13.672494551727343,25.703294789375082,1.0
