SubjectId	OriginGMT	DestinationGMT	Direction	q02_TripPurpose	q03_WhoPays	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	Cont_Income	q17_Gender	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	Legroom_1	Legroom_2	Legroom_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	TripPurpose
11	480	480	1	4	1	2	-1	540	-1	-1	-1	-1	-1	-1	-1	5	8	2	-1	-1	6	5	7	3	-1	8	1	10.5	18	9	630	1080	540	13.0333	21.5333	12.5333	782	1292	752	2.53333	3.03333	3.03333	2.53333	3.53333	3.53333	4	2	1	300	370	300	1	0	0	4
12	300	480	0	2	1	1	1140	-1	1	2	4	40	2	2	6	7	4	1	-1	-1	3	6	7	6	-1	7	2	15	16.5	9	900	990	540	16.3	20.3	11.3	978	1218	678	4.3	4.8	4.8	4.3	6.8	5.3	1	4	4	375	450	395	1	0	0	2
13	360	480	0	4	1	2	-1	870	1	3.5	10	112.5	2	1	7	7	1	2	-1	-1	5	1	3	8	-1	8	4	18	16.5	18	1080	990	1080	20.2333	20.7333	21.7333	1214	1244	1304	4.23333	4.73333	4.73333	4.23333	6.23333	5.73333	2	3	4	565	485	620	1	0	0	4
14	420	360	2	1	1	1	630	-1	1	3.5	8	80	2	2	6	11	5	6	-1	-1	1	3	7	1	-1	4	8	7.5	13.5	9	450	810	540	10.35	17.85	12.85	621	1071	771	1.85	2.35	2.35	1.85	3.35	2.85	3	2	3	380	460	380	1	0	0	1
15	480	480	1	2	1	2	-1	1080	1	5	99	-1	2	99	99	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	9.91667	20.4167	11.9167	595	1225	715	0.916667	1.41667	1.41667	0.916667	2.41667	2.91667	3	1	4	105	85	105	1	0	0	2
16	480	480	1	2	1	1	585	-1	2	3.5	11	137.5	1	2	6	7	7	7	-1	-1	4	6	6	1	-1	3	4	7.5	9	12	450	540	720	10.0833	14.0833	16.0833	605	845	965	2.58333	3.08333	3.08333	2.58333	5.08333	4.08333	1	3	2	405	370	370	0	1	0	2
17	480	300	2	2	1	2	-1	900	2	2	99	-1	2	99	3	4	6	1	-1	-1	2	7	5	1	-1	8	7	12	6	7	720	360	420	19.5667	16.0667	16.0667	1174	964	964	4.56667	5.06667	5.06667	4.56667	7.06667	6.06667	3	4	3	330	365	420	1	0	0	2
18	300	300	1	2	1	1	1380	-1	2	3.5	9	92.5	2	2	7	2	4	6	-1	-1	2	3	2	3	-1	4	4	15	18	12	900	1080	720	17.5167	23.0167	15.5167	1051	1381	931	2.51667	3.01667	3.01667	2.51667	5.01667	3.51667	2	2	2	185	145	195	1	0	0	2
19	480	480	1	2	1	1	420	-1	2	3.5	11	137.5	1	1	8	5	2	2	-1	-1	3	3	5	5	-1	4	3	12	16.5	7.5	720	990	450	13.9667	19.9667	10.4667	838	1198	628	1.96667	2.46667	2.46667	1.96667	3.46667	2.96667	4	4	1	240	200	220	0	0	1	2
20	480	300	2	2	1	1	1320	-1	4	5	4	40	1	6	6	6	5	1	-1	-1	7	1	1	7	-1	3	4	8	8	7	480	480	420	16.3333	18.8333	17.8333	980	1130	1070	5.33333	5.83333	5.83333	5.33333	7.83333	7.83333	3	3	4	975	720	765	1	0	0	2
21	300	360	0	2	1	1	495	-1	1	8	1	10	1	4	2	1	5	1	-1	-1	5	5	1	3	-1	2	4	9	13.5	7.5	540	810	450	9.95	16.45	10.45	597	987	627	1.95	2.45	2.45	1.95	3.95	3.95	1	1	3	340	340	370	0	1	0	2
22	300	480	0	2	1	1	1050	-1	1	5	5	50	2	2	7	6	4	2	-1	-1	6	2	6	6	-1	2	7	13.5	12	10.5	810	720	630	16.1167	17.1167	15.1167	967	1027	907	5.61667	6.11667	6.11667	5.61667	8.11667	7.61667	4	2	4	340	265	325	0	1	0	2
23	300	480	0	2	1	1	1080	-1	1	3.5	14	350	1	2	9	10	7	1	-1	-1	7	4	3	2	-1	6	1	15	18	13.5	900	1080	810	17.7667	23.2667	18.7667	1066	1396	1126	5.76667	6.26667	6.26667	5.76667	8.26667	8.26667	2	2	3	775	645	610	0	1	0	2
24	300	360	0	2	1	2	-1	780	1	2	10	112.5	1	6	3	6	4	4	-1	-1	11	5	5	8	-1	5	6	10.5	18	18	630	1080	1080	11.9833	20.9833	20.9833	719	1259	1259	2.48333	2.98333	2.98333	2.48333	3.98333	3.98333	2	4	2	480	565	675	1	0	0	2
25	360	300	2	3	1	2	-1	1140	1	3.5	6	60	1	2	6	5	4	3	-1	-1	4	1	3	7	-1	2	8	10	11	11	600	660	660	14.1333	17.1333	17.6333	848	1028	1058	3.13333	3.63333	3.63333	3.13333	5.13333	5.63333	1	2	1	365	365	280	0	0	1	3
26	300	480	0	1	2	1	900	-1	1	3.5	5	50	2	2	7	2	5	7	-1	-1	4	4	7	5	-1	8	6	15	10.5	13.5	900	630	810	17.7667	14.7667	18.2667	1066	886	1096	5.76667	6.26667	6.26667	5.76667	7.26667	7.76667	3	1	4	340	325	325	0	0	1	1
27	360	480	0	2	1	1	1110	-1	1	3.5	10	112.5	1	2	6	6	2	3	-1	-1	6	5	2	4	-1	2	1	18	16.5	9	1080	990	540	20.2333	20.7333	13.2333	1214	1244	794	4.23333	4.73333	4.73333	4.23333	6.23333	6.23333	2	3	1	250	315	260	1	0	0	2
28	480	480	1	2	1	1	420	-1	4	1	12	162.5	2	1	5	7	1	4	-1	-1	3	7	1	6	-1	7	1	7.5	10.5	10.5	450	630	630	10.0833	14.0833	15.0833	605	845	905	2.58333	3.08333	3.08333	2.58333	3.58333	4.58333	4	1	2	295	270	230	1	0	0	2
29	480	480	1	2	1	2	-1	660	5	3.5	10	112.5	1	1	7	6	5	10	-1	-1	4	3	8	6	-1	8	6	18	7.5	16.5	1080	450	990	20.5833	12.5833	21.5833	1235	755	1295	2.58333	3.08333	3.08333	2.58333	5.08333	5.08333	2	2	3	445	485	445	1	0	0	2
30	480	300	2	2	1	1	510	-1	-1	-1	-1	-1	-1	-1	-1	3	2	1	-1	-1	2	8	6	3	-1	7	6	10	10	10	600	600	600	18.3	20.8	19.8	1098	1248	1188	5.3	5.8	5.8	5.3	7.8	6.8	2	1	4	500	500	650	1	0	0	2
31	300	480	0	1	2	2	-1	765	1	3.5	14	350	2	4	6	3	5	3	-1	-1	5	1	6	2	-1	2	4	10.5	18	18	630	1080	1080	13.2667	21.7667	23.2667	796	1306	1396	5.76667	6.26667	6.26667	5.76667	6.76667	8.26667	4	2	4	305	390	325	1	0	0	1
32	300	480	0	1	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	7	7	-1	-1	4	1	4	4	-1	7	7	10.5	18	9	630	1080	540	12.7333	21.7333	13.2333	764	1304	794	5.23333	5.73333	5.73333	5.23333	6.73333	7.23333	2	4	3	250	225	280	1	0	0	1
33	300	360	0	2	1	2	-1	1140	1	3.5	9	92.5	2	2	7	3	1	3	-1	-1	1	4	4	6	-1	6	8	12	16.5	10.5	720	990	630	13.2333	19.2333	14.2333	794	1154	854	2.23333	2.73333	2.73333	2.23333	3.73333	4.73333	4	4	4	420	325	340	0	1	0	2
34	360	480	0	2	1	1	480	-1	2	6	10	112.5	2	2	5	1	10	7	-1	-1	1	5	8	8	-1	4	2	13.5	10.5	16.5	810	630	990	14.8333	13.8333	20.3333	890	830	1220	3.33333	3.83333	3.83333	3.33333	5.33333	5.83333	1	2	1	375	280	330	0	1	0	2
35	480	480	1	2	1	2	-1	660	5	3.5	10	112.5	1	1	7	5	5	5	-1	-1	2	5	6	8	-1	6	5	12	7.5	12	720	450	720	14.5833	11.0833	16.0833	875	665	965	2.58333	3.08333	3.08333	2.58333	3.58333	4.08333	4	1	3	355	320	320	1	0	0	2
36	480	300	2	1	2	1	480	-1	1	5	14	350	1	1	7	6	6	2	-1	-1	4	1	6	6	-1	8	8	12	11	10	720	660	600	20.3	20.3	19.8	1218	1218	1188	5.3	5.8	5.8	5.3	6.3	6.8	3	3	1	590	590	560	1	0	0	1
37	360	480	0	4	1	1	1080	-1	4	6	8	80	1	4	3	4	2	5	-1	-1	7	5	2	7	-1	5	2	7.5	16.5	15	450	990	900	9.73333	21.2333	18.7333	584	1274	1124	4.23333	4.73333	4.73333	4.23333	6.73333	5.73333	4	2	1	515	460	460	0	0	1	4
38	420	360	2	1	2	1	465	-1	1	3.5	10	112.5	1	1	7	2	7	2	-1	-1	1	6	1	6	-1	5	5	18	15	7.5	1080	900	450	20.85	19.35	12.35	1251	1161	741	1.85	2.35	2.35	1.85	3.35	3.85	4	3	2	410	410	455	1	0	0	1
39	480	300	2	2	1	0	-1	-1	2	3.5	99	-1	2	1	7	6	1	8	-1	-1	2	5	3	2	-1	4	5	12	7	9	720	420	540	19.5667	16.5667	19.0667	1174	994	1144	4.56667	5.06667	5.06667	4.56667	6.56667	7.06667	2	4	3	460	410	410	1	0	0	2
40	300	480	0	2	1	1	1080	-1	1	3.5	7	70	1	1	6	11	5	6	-1	-1	1	3	7	1	-1	4	8	7.5	13.5	9	450	810	540	9.63333	17.1333	12.1333	578	1028	728	5.13333	5.63333	5.63333	5.13333	6.63333	6.13333	3	2	3	565	680	565	1	0	0	2
41	360	480	0	2	1	1	555	-1	1	3.5	10	112.5	2	4	7	4	1	2	-1	-1	7	5	3	5	-1	1	4	15	9	10.5	900	540	630	17.5	14	14	1050	840	840	4.5	5	5	4.5	7	5.5	4	1	3	520	665	550	1	0	0	2
42	300	360	0	2	1	1	1080	-1	2	5	8	80	2	2	6	2	10	9	-1	-1	5	8	5	2	-1	3	8	14	8	9	840	480	540	17.6167	14.1167	13.6167	1057	847	817	4.61667	5.11667	5.11667	4.61667	7.11667	5.61667	1	4	4	800	695	590	1	0	0	2
43	300	480	0	2	1	1	480	-1	2	3.5	10	112.5	1	1	7	11	4	3	-1	-1	4	5	3	3	-1	3	8	13.5	10.5	15	810	630	900	15.95	15.45	19.45	957	927	1167	5.45	5.95	5.95	5.45	7.95	7.45	3	4	2	580	460	485	1	0	0	2
44	360	360	1	3	2	2	-1	570	1	5	14	350	1	1	6	3	6	5	-1	-1	2	7	3	6	-1	4	3	15	13.5	16.5	900	810	990	17.4833	17.4833	20.9833	1049	1049	1259	2.48333	2.98333	2.98333	2.48333	3.98333	4.48333	2	4	3	370	305	290	1	0	0	3
45	300	360	0	2	1	1	510	-1	1	5	13	187.5	1	4	7	6	7	6	-1	-1	1	8	6	5	-1	5	5	15	16.5	18	900	990	1080	16.4833	20.4833	21.9833	989	1229	1319	2.48333	2.98333	2.98333	2.48333	4.98333	4.98333	1	4	1	390	355	405	1	0	0	2
46	480	480	1	2	1	2	-1	675	1	6	14	350	2	99	6	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	11.5333	22.0333	13.5333	692	1322	812	2.53333	3.03333	3.03333	2.53333	4.03333	4.53333	3	1	4	220	180	220	0	1	0	2
47	360	480	0	2	1	2	-1	1080	1	2	2	20	2	5	6	4	3	3	-1	-1	1	6	5	7	-1	7	5	10.5	13.5	7.5	630	810	450	13	18.5	11	780	1110	660	4.5	5	5	4.5	7	5.5	2	2	2	315	330	295	1	0	0	2
48	480	360	2	1	2	2	-1	990	1	3.5	8	80	2	4	6	5	1	6	-1	-1	7	6	7	2	-1	5	7	11	11	10	660	660	600	16.9333	19.4333	17.9333	1016	1166	1076	3.93333	4.43333	4.43333	3.93333	6.43333	5.93333	2	1	1	435	455	410	1	0	0	1
49	480	300	2	1	2	1	600	-1	1	3.5	11	137.5	2	99	99	3	9	1	-1	-1	4	3	6	3	-1	5	3	12	8	8	720	480	480	19.9833	16.9833	17.9833	1199	1019	1079	4.98333	5.48333	5.48333	4.98333	5.98333	6.98333	1	4	1	550	665	550	1	0	0	1
50	300	480	0	1	2	1	765	-1	1	3.5	1	10	1	2	6	3	3	2	-1	-1	7	7	2	1	-1	2	6	7	9	7	420	540	420	10.1667	13.6667	12.6667	610	820	760	6.16667	6.66667	6.66667	6.16667	7.66667	8.66667	2	3	1	395	375	430	1	0	0	1
51	480	480	1	2	1	2	-1	660	2	3.5	6	60	1	2	6	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	10.9667	21.4667	12.9667	658	1288	778	1.96667	2.46667	2.46667	1.96667	3.46667	3.96667	3	1	4	165	135	165	0	1	0	2
52	300	300	1	2	1	1	420	-1	1	5	10	112.5	2	2	5	3	3	2	-1	-1	7	7	2	1	-1	2	6	7.5	10.5	7.5	450	630	450	10.0167	14.5167	12.5167	601	871	751	2.51667	3.01667	3.01667	2.51667	4.01667	5.01667	2	3	1	185	175	200	1	0	0	2
53	360	300	2	2	1	2	-1	600	2	5	10	112.5	2	2	6	6	4	2	-1	-1	3	4	4	2	-1	4	4	18	13.5	15	1080	810	900	20.95	17.95	19.45	1257	1077	1167	1.95	2.45	2.45	1.95	3.45	3.45	3	1	1	350	350	350	1	0	0	2
54	300	360	0	1	2	2	-1	-1	2	5	9	92.5	1	3	3	4	10	5	-1	-1	1	7	2	7	-1	7	4	12	9	18	720	540	1080	13.2333	11.2333	21.2333	794	674	1274	2.23333	2.73333	2.73333	2.23333	3.23333	4.23333	3	3	4	325	435	400	0	1	0	1
55	360	300	2	2	1	1	660	-1	1	6	99	-1	2	2	6	6	2	3	-1	-1	6	8	1	1	-1	4	6	11	7	10	660	420	600	15.1333	12.1333	15.6333	908	728	938	3.13333	3.63333	3.63333	3.13333	4.13333	4.63333	1	4	4	395	475	335	0	0	1	2
56	300	480	0	2	1	2	-1	900	2	3.5	99	-1	2	2	7	5	1	6	-1	-1	7	1	5	6	-1	1	4	14	10	8	840	600	480	17.1667	14.6667	12.6667	1030	880	760	6.16667	6.66667	6.66667	6.16667	7.66667	7.66667	1	2	4	570	455	570	0	1	0	2
57	480	300	2	2	1	1	1320	-1	3	3.5	8	80	2	5	5	6	8	7	-1	-1	5	1	8	5	-1	7	2	9	10	9	540	600	540	17.3333	20.8333	19.3333	1040	1250	1160	5.33333	5.83333	5.83333	5.33333	7.83333	7.33333	3	4	2	1120	1170	1220	1	0	0	2
58	480	480	1	2	1	2	-1	570	1	3.5	8	80	2	5	5	9	11	4	-1	-1	11	7	4	2	-1	4	4	12	15	9	720	900	540	12.9167	18.4167	11.9167	775	1105	715	0.916667	1.41667	1.41667	0.916667	3.41667	2.91667	4	2	4	95	105	90	1	0	0	2
59	480	480	1	0	1	1	690	-1	1	6	10	112.5	1	1	3	2	7	4	-1	-1	6	3	3	8	-1	2	2	7.5	7.5	9	450	450	540	9.46667	11.9667	12.4667	568	718	748	1.96667	2.46667	2.46667	1.96667	4.46667	3.46667	2	1	4	230	230	200	1	0	0	0
60	420	360	2	2	1	0	-1	-1	4	6	11	137.5	2	1	7	5	3	1	-1	-1	5	8	3	1	-1	7	5	9	18	18	540	1080	1080	11.85	22.35	22.35	711	1341	1341	1.85	2.35	2.35	1.85	3.35	3.35	3	1	1	575	550	430	1	0	0	2
61	480	480	1	1	2	1	720	-1	1	3.5	1	10	1	1	7	7	1	2	-1	-1	5	1	3	8	-1	8	4	18	16.5	18	1080	990	1080	19.9667	20.4667	21.4667	1198	1228	1288	1.96667	2.46667	2.46667	1.96667	3.96667	3.46667	2	3	4	315	270	345	1	0	0	1
62	480	300	2	2	1	1	1320	-1	5	3.5	10	112.5	2	1	3	9	6	3	-1	-1	6	7	3	3	-1	1	7	12	10	13	720	600	780	20.3	19.3	22.8	1218	1158	1368	5.3	5.8	5.8	5.3	6.3	6.8	4	1	3	810	775	885	1	0	0	2
63	360	480	0	2	1	1	480	-1	2	3.5	8	80	1	2	6	8	3	8	-1	-1	2	7	2	8	-1	5	8	18	10.5	13.5	1080	630	810	20.2333	13.7333	16.7333	1214	824	1004	4.23333	4.73333	4.73333	4.23333	5.23333	5.23333	4	2	1	620	515	485	0	1	0	2
64	360	300	2	4	2	1	1200	-1	2	3.5	6	60	2	2	6	4	7	3	-1	-1	5	2	7	8	-1	1	6	10	12	8	600	720	480	14.1333	18.1333	13.1333	848	1088	788	3.13333	3.63333	3.63333	3.13333	5.13333	4.13333	2	4	2	380	295	365	0	1	0	4
65	300	480	0	1	3	2	-1	1080	1	3.5	12	162.5	2	2	6	6	2	7	-1	-1	1	4	3	3	-1	1	7	10.5	15	16.5	630	900	990	13.2667	19.7667	21.2667	796	1186	1276	5.76667	6.26667	6.26667	5.76667	7.76667	7.76667	3	2	2	410	475	495	1	0	0	1
66	480	300	2	2	1	2	-1	390	1	6	9	92.5	2	3	3	6	5	10	-1	-1	4	3	8	6	-1	8	6	13	6	12	780	360	720	20.8333	16.3333	22.3333	1250	980	1340	4.83333	5.33333	5.33333	4.83333	7.33333	7.33333	2	2	3	565	615	565	1	0	0	2
67	420	420	1	2	1	2	-1	720	1	3.5	10	112.5	2	2	3	4	7	3	-1	-1	5	2	7	8	-1	1	6	12	15	9	720	900	540	13.3667	18.3667	11.3667	802	1102	682	1.36667	1.86667	1.86667	1.36667	3.36667	2.36667	2	4	2	400	315	385	0	1	0	2
68	480	300	2	2	1	1	960	-1	1	5	13	187.5	1	1	6	2	3	2	-1	-1	5	4	1	6	-1	7	1	7	9	9	420	540	540	14.8333	18.8333	18.3333	890	1130	1100	4.83333	5.33333	5.33333	4.83333	6.83333	6.33333	3	2	3	405	490	470	1	0	0	2
69	480	300	2	2	1	1	510	-1	1	6	6	60	1	1	6	6	6	4	-1	-1	7	7	5	8	-1	7	3	11	6	11	660	360	660	18.9833	15.9833	20.9833	1139	959	1259	4.98333	5.48333	5.48333	4.98333	6.98333	6.98333	1	1	3	1100	1040	1155	1	0	0	2
70	480	300	2	1	2	1	660	-1	1	99	99	-1	99	99	99	4	2	5	-1	-1	7	5	2	7	-1	5	2	6	12	11	360	720	660	14.5333	23.0333	21.0333	872	1382	1262	5.53333	6.03333	6.03333	5.53333	8.03333	7.03333	4	2	1	870	780	780	1	0	0	1
71	480	300	2	2	1	1	420	-1	4	3.5	6	60	1	1	5	4	10	5	-1	-1	1	7	2	7	-1	7	4	9	7	13	540	420	780	17.3333	16.3333	23.3333	1040	980	1400	5.33333	5.83333	5.83333	5.33333	6.33333	7.33333	3	3	4	285	385	350	1	0	0	2
72	480	360	2	2	1	1	705	-1	2	3.5	12	162.5	2	2	7	3	7	4	-1	-1	2	4	3	5	-1	3	2	13	14	7	780	840	420	18.4833	21.4833	13.4833	1109	1289	809	3.48333	3.98333	3.98333	3.48333	5.48333	4.48333	4	3	3	390	350	330	1	0	0	2
73	480	480	1	3	1	1	1140	-1	1	3.5	8	80	2	2	6	1	1	1	-1	-1	4	7	1	3	-1	8	2	18	10.5	12	1080	630	720	18.9667	12.9667	14.4667	1138	778	868	0.966667	1.46667	1.46667	0.966667	2.46667	2.46667	2	4	2	200	160	165	1	0	0	3
74	480	300	2	2	1	1	420	-1	2	5	10	112.5	1	6	6	6	6	4	-1	-1	7	3	7	7	-1	3	5	9	12	8	540	720	480	17.3333	21.3333	17.8333	1040	1280	1070	5.33333	5.83333	5.83333	5.33333	6.33333	6.83333	2	2	2	610	535	585	1	0	0	2
75	360	480	0	2	1	1	540	-1	2	5	13	187.5	1	2	9	1	2	7	-1	-1	11	3	3	7	-1	8	7	9	12	12	540	720	720	10.3333	15.8333	15.8333	620	950	950	3.33333	3.83333	3.83333	3.33333	5.83333	5.83333	1	4	1	160	180	180	0	1	0	2
76	480	300	2	4	3	2	-1	750	1	6	9	92.5	2	3	3	5	7	1	-1	-1	5	3	3	1	-1	5	1	13	6	11	780	360	660	21.3333	16.3333	21.3333	1280	980	1280	5.33333	5.83333	5.83333	5.33333	7.33333	7.33333	4	4	4	800	620	835	0	1	0	4
77	480	300	2	2	1	1	1200	-1	1	2	6	60	1	2	6	11	2	2	-1	-1	4	4	5	8	-1	7	3	10	7	7	600	420	420	18.5333	16.5333	17.0333	1112	992	1022	5.53333	6.03333	6.03333	5.53333	6.53333	7.03333	2	2	2	505	390	415	0	1	0	2
78	300	360	0	4	1	1	510	-1	2	5	11	137.5	1	1	6	6	4	4	-1	-1	11	5	5	8	-1	5	6	10.5	18	18	630	1080	1080	12.6833	21.6833	21.6833	761	1301	1301	3.18333	3.68333	3.68333	3.18333	4.68333	4.68333	2	4	2	520	610	730	1	0	0	4
79	480	300	2	2	1	2	-1	1275	1	3.5	10	112.5	1	1	6	4	6	10	-1	-1	8	1	6	3	-1	7	6	11	11	6	660	660	360	19.3	20.8	16.3	1158	1248	978	5.3	5.8	5.8	5.3	6.8	7.3	1	2	1	885	665	625	0	1	0	2
80	300	300	1	2	1	1	510	-1	3	6	12	162.5	2	2	6	2	4	5	-1	-1	8	6	8	1	-1	1	1	16.5	12	16.5	990	720	990	19.35	16.35	21.85	1161	981	1311	2.85	3.35	3.35	2.85	4.35	5.35	4	4	4	360	395	295	1	0	0	2
81	360	480	0	4	1	2	-1	630	1	5	14	350	1	1	7	2	6	6	-1	-1	4	8	2	3	-1	6	2	10.5	7.5	7.5	630	450	450	12.7333	10.7333	12.2333	764	644	734	4.23333	4.73333	4.73333	4.23333	5.23333	6.73333	1	3	3	440	420	330	1	0	0	4
82	360	300	2	4	1	1	630	-1	1	3.5	10	112.5	2	2	8	3	5	3	-1	-1	5	1	6	2	-1	2	4	9	14	14	540	840	840	12.3	18.3	19.8	738	1098	1188	2.3	2.8	2.8	2.3	3.3	4.8	4	2	4	190	240	200	1	0	0	4
83	300	480	0	2	1	1	1080	-1	3	3.5	11	137.5	2	6	3	3	5	7	-1	-1	3	3	7	8	-1	1	6	18	13.5	15	1080	810	900	20.45	16.95	19.95	1227	1017	1197	5.45	5.95	5.95	5.45	6.45	7.95	1	3	3	290	275	275	0	0	1	2
84	480	360	2	2	1	1	720	-1	1	3.5	4	40	2	1	6	5	8	2	-1	-1	6	5	7	3	-1	8	1	9	14	8	540	840	480	14.9333	20.9333	14.9333	896	1256	896	3.93333	4.43333	4.43333	3.93333	4.93333	4.93333	4	2	1	465	575	465	1	0	0	2
85	300	300	1	2	3	1	1185	-1	2	3.5	10	112.5	1	2	8	2	6	5	-1	-1	7	2	3	4	-1	7	3	18	10.5	12	1080	630	720	20.5167	14.0167	17.0167	1231	841	1021	2.51667	3.01667	3.01667	2.51667	3.51667	5.01667	4	2	4	225	250	250	1	0	0	2
86	480	360	2	1	2	2	-1	1050	1	3.5	14	350	2	1	7	2	7	2	-1	-1	1	1	2	2	-1	1	3	11	9	13	660	540	780	16.4833	16.9833	19.9833	989	1019	1199	3.48333	3.98333	3.98333	3.48333	5.98333	4.98333	3	4	3	430	430	330	1	0	0	1
87	420	360	2	2	1	2	-1	1170	4	3.5	9	92.5	1	2	6	3	1	7	-1	-1	6	5	5	7	-1	7	5	16.5	15	13.5	990	900	810	19.35	19.35	18.85	1161	1161	1131	1.85	2.35	2.35	1.85	3.35	4.35	1	1	3	550	575	525	0	0	1	2
