	ID	CAR_AV_0	CAR_AV_1	CAR_AV_2	CAR_AV_3	CAR_AV_4	CAR_AV_5	CAR_AV_6	CAR_AV_7	CAR_AV_8	CAR_CO_0	CAR_CO_1	CAR_CO_2	CAR_CO_3	CAR_CO_4	CAR_CO_5	CAR_CO_6	CAR_CO_7	CAR_CO_8	CAR_TT_0	CAR_TT_1	CAR_TT_2	CAR_TT_3	CAR_TT_4	CAR_TT_5	CAR_TT_6	CAR_TT_7	CAR_TT_8	CHOICE_0	CHOICE_1	CHOICE_2	CHOICE_3	CHOICE_4	CHOICE_5	CHOICE_6	CHOICE_7	CHOICE_8	SM_AV_0	SM_AV_1	SM_AV_2	SM_AV_3	SM_AV_4	SM_AV_5	SM_AV_6	SM_AV_7	SM_AV_8	SM_CO_0	SM_CO_1	SM_CO_2	SM_CO_3	SM_CO_4	SM_CO_5	SM_CO_6	SM_CO_7	SM_CO_8	SM_HE_0	SM_HE_1	SM_HE_2	SM_HE_3	SM_HE_4	SM_HE_5	SM_HE_6	SM_HE_7	SM_HE_8	SM_SEATS_0	SM_SEATS_1	SM_SEATS_2	SM_SEATS_3	SM_SEATS_4	SM_SEATS_5	SM_SEATS_6	SM_SEATS_7	SM_SEATS_8	SM_TT_0	SM_TT_1	SM_TT_2	SM_TT_3	SM_TT_4	SM_TT_5	SM_TT_6	SM_TT_7	SM_TT_8	TRAIN_AV_0	TRAIN_AV_1	TRAIN_AV_2	TRAIN_AV_3	TRAIN_AV_4	TRAIN_AV_5	TRAIN_AV_6	TRAIN_AV_7	TRAIN_AV_8	TRAIN_CO_0	TRAIN_CO_1	TRAIN_CO_2	TRAIN_CO_3	TRAIN_CO_4	TRAIN_CO_5	TRAIN_CO_6	TRAIN_CO_7	TRAIN_CO_8	TRAIN_HE_0	TRAIN_HE_1	TRAIN_HE_2	TRAIN_HE_3	TRAIN_HE_4	TRAIN_HE_5	TRAIN_HE_6	TRAIN_HE_7	TRAIN_HE_8	TRAIN_TT_0	TRAIN_TT_1	TRAIN_TT_2	TRAIN_TT_3	TRAIN_TT_4	TRAIN_TT_5	TRAIN_TT_6	TRAIN_TT_7	TRAIN_TT_8	INCOME	FIRST	PURPOSE	DEST	TICKET	LUGGAGE	MALE	SP	SURVEY	GROUP	ORIGIN	QuestionID	GA	WHO	AGE	index
23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	128	103	108	108	111	111	132	116	161	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	60	66	74	74	74	74	66	60	74	1	1	1	1	1	1	1	1	1	118	88	88	88	98	98	118	98	118	120	120	120	60	120	60	60	120	30	210	164	210	179	179	164	164	164	179	2	0	1	2	3	1	1	1	0	2	17	1	0	2	3	208
24	25	1	1	1	1	1	1	1	1	1	90	72	117	72	117	72	90	90	90	182	112	182	182	140	140	112	140	112	3	3	2	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	139	139	128	161	106	128	161	111	123	20	20	10	30	20	10	10	30	10	0	0	0	0	0	0	0	0	0	66	66	60	74	66	60	74	74	60	1	1	1	1	1	1	1	1	1	119	99	119	119	89	89	119	89	99	120	30	30	60	60	120	120	30	60	179	164	164	210	210	179	164	164	210	3	0	1	17	3	1	1	1	0	2	2	1	0	2	3	217
25	26	1	1	1	1	1	1	1	1	1	44	71	55	71	44	55	44	71	55	190	247	247	152	247	152	152	152	190	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	84	104	97	97	87	77	97	100	104	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	77	67	59	59	59	67	59	67	67	1	1	1	1	1	1	1	1	1	74	74	67	67	74	67	89	89	74	30	120	30	60	30	30	60	30	60	233	233	233	177	196	196	196	233	196	2	0	1	1	4	0	1	1	0	2	25	1	0	2	3	226
26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	46	41	52	46	31	41	52	34	38	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	31	28	35	31	31	28	35	35	28	1	1	1	1	1	1	1	1	1	36	36	36	30	27	27	36	27	30	120	30	60	30	60	120	120	30	60	86	79	100	79	100	86	79	79	100	2	0	1	2	4	1	1	1	0	2	22	1	0	2	2	235
27	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	65	80	60	80	60	80	80	65	65	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	68	70	66	68	68	70	66	66	70	1	1	1	1	1	1	1	1	1	60	60	60	50	45	60	45	50	45	120	60	30	30	60	120	120	60	30	92	108	84	84	108	84	92	108	84	1	0	1	23	5	1	1	1	0	2	25	1	0	1	5	244
28	29	1	1	1	1	1	1	1	1	1	80	104	64	64	104	64	80	80	80	91	91	91	56	70	70	56	70	56	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	65	60	80	80	60	80	80	65	65	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	55	52	59	55	55	52	59	59	52	1	1	1	1	1	1	1	1	1	60	60	60	50	45	45	60	45	50	120	30	60	30	60	120	120	30	60	110	103	124	103	124	110	103	103	124	2	0	1	22	5	1	0	1	0	2	2	1	0	1	3	253
29	30	1	1	1	1	1	1	1	1	1	27	22	22	35	35	27	22	35	35	70	91	56	91	56	91	70	70	70	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	60	60	65	65	60	60	65	65	80	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	46	49	53	53	53	53	49	46	53	1	1	1	1	1	1	1	1	1	60	45	45	45	50	50	60	50	60	120	120	120	60	120	60	60	120	30	118	97	118	104	104	97	97	97	104	2	0	1	2	5	1	1	1	0	2	22	1	0	2	2	262
30	31	1	1	1	1	1	1	1	1	1	80	104	64	64	104	64	80	80	80	182	182	182	112	140	140	112	140	112	2	2	2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1	65	60	80	80	60	80	80	65	65	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	69	63	77	69	69	63	77	77	63	1	1	1	1	1	1	1	1	1	60	60	60	50	45	45	60	45	50	120	30	60	30	60	120	120	30	60	182	165	215	165	215	182	165	165	215	3	0	1	2	5	1	1	1	0	2	17	1	0	2	3	271
31	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	60	80	80	80	65	60	60	65	80	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	119	109	101	101	101	109	101	109	109	1	1	1	1	1	1	1	1	1	50	50	45	45	50	45	60	60	50	30	120	30	60	30	30	60	30	60	281	281	281	216	238	238	238	281	238	4	0	1	25	5	1	1	1	0	2	9	1	0	3	2	280
32	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	3380	4160	3120	4160	3120	4160	4160	3380	3380	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	40	42	38	40	40	38	42	38	42	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2600	2340	120	60	30	30	60	120	120	60	30	64	71	61	61	71	64	61	71	61	4	0	1	22	6	0	0	1	0	2	25	1	1	1	2	289
33	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	81	77	74	74	74	77	74	77	77	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	139	139	139	110	120	120	120	139	120	2	0	1	10	6	0	0	1	0	2	1	1	1	1	3	298
34	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	20	10	30	30	10	20	30	30	0	0	1	1	1	1	0	0	0	75	68	71	68	68	71	68	71	71	1	1	1	1	1	1	1	1	1	2600	2340	2600	2340	2600	2340	3120	3120	2600	30	30	120	60	30	30	60	30	60	148	148	148	112	124	124	124	148	124	1	0	1	17	6	1	0	1	0	2	1	1	1	1	2	307
35	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	34	31	38	34	34	31	38	38	31	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	87	80	101	80	101	87	80	80	101	2	0	1	1	6	1	0	1	0	2	17	1	1	1	2	316
36	37	1	1	1	1	1	1	1	1	1	32	52	40	52	32	40	32	52	40	50	65	65	40	65	40	40	40	50	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	37	35	33	33	33	35	33	35	35	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	66	66	66	56	59	59	59	66	59	4	0	1	25	6	1	0	1	0	2	22	1	1	1	2	325
37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	49	52	56	56	56	56	52	49	56	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	121	100	121	107	107	100	100	100	107	2	0	1	2	6	1	1	1	0	2	1	1	1	1	2	334
38	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	55	61	69	69	69	69	61	55	69	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	205	159	205	174	174	159	159	159	174	2	0	1	2	6	1	1	1	0	2	17	1	1	1	2	343
39	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	44	41	48	44	44	41	48	48	41	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	97	88	114	88	114	97	88	88	114	1	0	1	17	6	1	1	1	0	2	19	1	1	1	3	352
40	41	1	1	1	1	1	1	1	1	1	48	78	60	78	48	60	48	78	60	210	273	273	168	273	168	168	168	210	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	131	123	117	117	117	123	117	123	123	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	274	274	274	209	231	231	231	274	231	2	0	1	22	6	1	1	1	0	2	5	1	1	1	3	361
41	42	1	1	1	1	1	1	1	1	1	40	65	50	65	40	50	40	65	50	90	117	117	72	117	72	72	72	90	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	44	40	37	37	37	40	37	40	40	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	109	109	109	88	95	95	95	109	95	3	0	1	2	6	1	1	1	0	2	1	1	1	2	2	370
